ticker,filename,size_bytes,status
XMAX,0001493152-24-014501.htm,1962090,ok
XMAX,0001493152-26-016828.htm,1795949,ok
XMAX,0001641172-25-001773.htm,1639705,ok
XOM,0000034088-24-000018.htm,5653988,ok
XOM,0000034088-25-000010.htm,5980900,ok
XOM,0000034088-26-000045.htm,5591068,ok
YHGJ,0001493152-24-011910.htm,1463833,ok
YHGJ,0001493152-26-012156.htm,1225549,ok
YHGJ,0001641172-25-004622.htm,1056061,ok
ZUMZ,0000950170-24-031449.htm,2629238,ok
ZUMZ,0000950170-25-038692.htm,3165530,ok
ZUMZ,0001193125-26-104063.htm,3401678,ok
