ticker,filename,status,old_md5,new_md5
COST,COST-COSTCO WHOLESALE CORP-2021-2022.pdf,only_in_old,dd0de99f7f83ea1bea1311e3b4548551,
LZB,LZB-LA-Z-BOY INC-2022.pdf,only_in_old,e6a715afccde1e2091aff6d2f41d3539,
CROX,CROX-CROCS INC-2021.pdf,only_in_old,641eaf5edd5ba2fc484cf616210d5ae9,
ARKO,ARKO-ARKO CORP-2021.pdf,only_in_old,061063dc247e98c27add9036b465fefa,
HD,HD-HOME DEPOT INC-2022.pdf,only_in_old,048c4cb207c5acce316af622417fa08e,
COST,COST-COSTCO WHOLESALE CORP-2023-2024.pdf,only_in_old,c3ee2e0229b6855c4c42149a642d7b78,
SFM,SFM-SPROUTS FARMERS MARKET-2021.pdf,only_in_old,11c31972337adb26e19253fd684e8157,
CURV,CURV-TORRID HOLDINGS-2022.pdf,only_in_old,dbb20ccdc416e316060deced9d215137,
BJ,BJ-BJS WHSL CLUB HLDGS INC-2023.pdf,only_in_old,40f19e3c7fb80d26156bc92aa7531724,
KSS,KSS-KOHL'S CORP-2021.pdf,only_in_old,40cee8acae23b94e7a98e7e443a7b7fb,
LAD,LAD-LITHIA MOTORS INC -CL A-2023.pdf,only_in_old,97f1de8b936434ed8d48fa5c87fc3a08,
URBN,URBN-Urban Outfitters-2023-2024.pdf,only_in_old,8d7b932e745555afcd86242324ede6cb,
LOW,LOW-LOWE'S COS INC-2024.pdf,only_in_old,609a8f23d79e85ecf4b83663b40201bf,
MHK,MHK-MOHAWK INDUSTRIES INC-2025.pdf,only_in_old,a38ac1daad6e0f00b1c96b34c0e47f86,
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2022.pdf,only_in_old,78b98492b985a3cace744782746ada81,
JWN,JWN-NORSTROM-2024.pdf,only_in_old,c2d244416b4081fa8c64dded43fe15f0,
AAPL,AAPL-APPLE INC-2025.pdf,only_in_old,4ef6658315aa865076de335238f220b6,
WWW,WWW-WOLVERINE WORLD WIDE-2023.pdf,only_in_old,e51c1f01d9bc6bf10752cef01f32b818,
MUSA,MUSA-MURPHY USA INC-2023.pdf,only_in_old,6a357fd0b400f21f387ab6d13a4ae016,
KSS,KSS-KOHL'S-2023.pdf,only_in_old,822df2927f26dc1522948d1ceb692b58,
TSCO,TSCO-TRACTOR SUPPLY CO-2021.pdf,only_in_old,c3d1b010ba046df117db162e41267d00,
FOSL,FOSL-FOSSIL GROUP INC-2022.pdf,only_in_old,31c472d06deb5ec33a96bd9085f3f3ed,
LEVI,LEVI-LEVI STRAUSS & CO-2022.pdf,only_in_old,b56593980afeafc8fb9cf37b70a523b0,
ULTA,ULTA-ULTA BEAUTY INC-2023.pdf,only_in_old,e44859a18e543a5e06acfcf236d2ec8c,
MOV,MOV-MOVADO GROUP INC-2023.pdf,only_in_old,cd4c1e65de08a8ac3f02fcd98b157e0d,
PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2024.PDF,only_in_old,645742431a30b6fc91ba97bdb311dcc8,
TDUP,TDUP-THREDUP INC-2022.pdf,only_in_old,92445a9a768d2ebea984fa94dd7fa2c5,
CPNG,CPNG-Coupang-2024.pdf,only_in_old,a61febcec1ea41cae452c7dcb9d3572e,
COST,COST-COSTCO WHOLESALE CORP-2020-2021.pdf,only_in_old,e6a651d78fde7714796e914567a6fe36,
BBWI,BBWI-BATH & BODY WORKS INC-2023.pdf,only_in_old,4b1e172b427a4b6017e783b96f8813b7,
CAL,CAL-CALERES INC-2024.pdf,only_in_old,ce3f35752118ddae74a5028b660836d4,
BBBY,BBBY-BED BATH & BEYOND INC-2021.pdf,only_in_old,875a09df6880a55e76e1850aa330ae1c,
HOOKER FURNISHINGS CORP,HOOKER FURNISHINGS CORP-HOFT-2023.pdf,only_in_old,f707158128e200bf02b66b4be89eddd3,
GRPN,GRPN-Groupon Inc-2021.pdf,only_in_old,00d77f38f55ca1a42936029f2aec9d2a,
COLM,COLM-COLUMBIA SPORTSWEAR CO-2023.pdf,only_in_old,4e542f18f3fba588218ad59695f91e85,
VSXY,VSXY-Victorias Secret-2026.pdf,only_in_old,638fe1483787747f06da6a9f377ee4ef,
MNRO,MNRO-MONRO INC-2025.pdf,only_in_old,54e4c4b787bab4e59da70b77c0807d15,
KTB,KTB-KONTOOR BRANDS INC-2023.pdf,only_in_old,bde0c61e3bd11cce34c9dac5946651ce,
PVH,PVH-PVH CORP-2021.pdf,only_in_old,bca2ef9e6e5925b929e49ec5c50997ca,
SVV,SVV-Savers Value Village-2023.pdf,only_in_old,ef66d782fb68413cd3350cd5f0e8556b,
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2024.pdf,only_in_old,ce87cc6b8feeae4558f740ddce19ada5,
CRMT,CRMT-AMERICA'S CAR-MART INC-2024.pdf,only_in_old,028abf89b72345cdbf1b8f2c0d3e5fed,
TGT,TGT-TARGET CORP-2021.pdf,only_in_old,8c31ce540e19fe04df573774794d600e,
AAP,AAP-ADVANCE AUTO PARTS INC-2021.pdf,only_in_old,9b79157dfa0b041159a6aee0cd9e565a,
T,T-AT&T INC-2025.pdf,only_in_old,d59364b216368b7724522d5fa2745c16,
LOW,LOW-LOWE'S COS INC-2021.pdf,only_in_old,45847a3e18957f83a58b9d1b38011820,
HD,HD-HOME DEPOT INC-2020.pdf,only_in_old,4836d946741eca27f5c97428231ce260,
TJX,TJX-Tjx Cos Inc-2023.pdf,only_in_old,35882afe3ca54299cc21209e1ecdc719,
GAP,GAP-GAP-2025.pdf,only_in_old,a814db824dd3c2cc7434328291649ce2,
DELL,DELL-DELL TECHNOLOGIES INC-2022.pdf,only_in_old,026ccde2cdd5374f3048a1ca073d8b21,
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf,only_in_old,f6ce995e31cb658d78a01273378ab297,
W,W-WAYFAIR INC-2022.pdf,only_in_old,d8a3fa98bcf623305262420a3f95a388,
TSCO,TSCO-TRACTOR SUPPLY CO-2025.pdf,only_in_old,7aa6990bfa569efea9d26eeb531598bd,
WMK,WMK-WEIS MARKETS INC-2024-2025.pdf,only_in_old,c99ced84f93428af3ff6487d13e0455a,
LULU,LULU-LULULEMON ATHLETICA INC-2023.pdf,only_in_old,c279bc0bbd519ac8d2108c8a664502b4,
GCO,GCO-GENESCO INC-2021.pdf,only_in_old,e3234789801bf9e49514b6efe1bc4683,
CAL,CAL-CALERES INC-2021.pdf,only_in_old,5572b6479145baf2c9027416f7b2cd97,
BBW,BBW-BUILD-A-BEAR WORKSHOP INC-2023.pdf,only_in_old,14f5dcc0afa8d03fba0547a47de20194,
ACI,ACI-ALBERTSONS COS INC-2022.pdf,only_in_old,d33c0a760df5bc0858579168c3a44fc6,
ULTA,ULTA-ULTA BEAUTY INC-2022.pdf,only_in_old,251cfafd5c824eefff0a559bc479a11e,
NASDAQ_BIRD_2020.pdf,NASDAQ_BIRD_2020.pdf,only_in_old,0ce6459b598062d1867df0f1e6551c9d,
PTRN,PTRN-Pattern Group-2022.pdf,only_in_old,6ec907cb86ea3321403ce51f046ba3c7,
UPD,UPD-UPBOUND GROUP INC-2021.pdf,only_in_old,79fbf38a2fd45788cdd795724039ea83,
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf,only_in_old,bfe8ece669072ceefa5e44724ad1560a,
VFC,VFC-VF CORP-2021-2022.pdf,only_in_old,4a60d9f6083508f028ddeebfb45bfba7,
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf,only_in_old,2a03a7c321b279d65808bb563235e834,
LOVE,LOVE-LOVESAC CO (THE)-2022.pdf,only_in_old,e16666b176a292e9553c929ca5f645ed,
PSMT,PSMT-PRICESMART INC-2025.pdf,only_in_old,ef9388d18bfc18724575322abacd380b,
BURL,BURL-BURLINGTON STORES INC-2021.pdf,only_in_old,6133ca9c280bc4a52f1d413fc394e7af,
SHOO,SHOO-MADDEN STEVEN LTD-2024.pdf,only_in_old,4ecc80739dd6c3db772267f2f6bf2ebe,
SONO,SONO-SONOS INC-2025.pdf,only_in_old,4abe3463d4da73917586c7ce7bc3f1d2,
VSXY,VSXY-Victorias Secret-2024.pdf,only_in_old,e973b9d06b0586537ab7e9d2aa22bb6d,
LEG,LEG-LEGGETT & PLATT INC-2022.pdf,only_in_old,f45b99e52d7c20e10104c7819c3ea8f2,
